Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SLC22A31		ENSG00000259803	"Solute carrier family 22 member 31"	A6NKX4	16	89195761-89201651	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 155.6;lung: 39.4;pancreas: 32.0"	"Group enriched"	"Detected in some"	4	"Alveolar cells type 1: 74.4;Alveolar cells type 2: 285.8"	"Cell type enriched"	"Detected in some"	20	"upper rhombic lip: 59.8"	"Group enriched"	"Detected in many"	6	"Lung Adenocarcinoma (TCGA): 60.3;Thyroid Carcinoma (TCGA): 27.4"	"Region enriched"	"Detected in many"	10	"cerebellum: 63.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 11.7"	"Lung - Alveolar cells type 2, Skin - Sebaceous gland cells"																NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"									"unprognostic (3.23e-3)"									"unprognostic (2.00e-2)"		"unprognostic (2.37e-3)"	"unprognostic (9.07e-2)"	"unprognostic (4.10e-3)"	"unprognostic (5.81e-2)"	"unprognostic (2.12e-1)"				"unprognostic (1.53e-1)"		"unprognostic (9.83e-2)"		"unprognostic (2.26e-1)"	"unprognostic (1.98e-1)"	"unprognostic (5.29e-3)"	"unprognostic (1.90e-2)"
SLC25A15	"D13S327, HHH, ORC1, ORNT1"	ENSG00000102743	"Solute carrier family 25 member 15"	Q9Y619	13	40789412-40812460	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 36.5;liver: 85.5;pancreas: 50.2"	"Group enriched"	"Detected in many"	4	"Extravillous trophoblasts: 113.1;Hepatocytes: 153.3;Proximal enterocytes: 63.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA042146	Approved						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 83: Liver - Metabolism"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 19: Non-specific - Unknown function"	"Cluster 43: Hepatocytes - Metabolism"	20			"HPA042146: AB_2677874"	"unprognostic (3.48e-2)"	"unprognostic (2.44e-1)"	"unprognostic (1.96e-1)"	"unprognostic (6.62e-5)"	"unprognostic (1.27e-1)"	"unprognostic (9.48e-3)"	"unprognostic (1.34e-1)"	"unprognostic (3.58e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.17e-2)"	"unprognostic (1.50e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.07e-2)"	"unprognostic (6.17e-6)"	"unprognostic (1.20e-2)"	"unprognostic (1.50e-1)"	"unprognostic (4.68e-3)"	"unprognostic (1.38e-1)"	"unprognostic (5.74e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.04e-1)"	"unprognostic (6.04e-2)"	"unprognostic (2.22e-3)"	"unprognostic (9.32e-2)"	"unprognostic (4.00e-2)"	"unprognostic (2.23e-1)"	"unprognostic (4.39e-2)"	"unprognostic (1.69e-2)"	"unprognostic (4.82e-2)"	"unprognostic (2.58e-2)"	"unprognostic (1.11e-1)"
SLC25A22	"EIEE3, FLJ13044, GC-1, GC1, NET44"	ENSG00000177542	"Solute carrier family 25 member 22"	Q9H936	11	790475-798281	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Symport, Transport"		"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 118.6;pancreas: 81.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 131.7;Cone photoreceptor cells: 56.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA014662	Approved		Uncertain	Nucleoplasm,Mitochondria			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 54: Non-specific - Transcription"	"Cluster 25: Bipolar cells - Visual perception"	15	Mitochondria	Nucleoplasm	"HPA014662: AB_10600808"	"unprognostic (1.55e-1)"	"unprognostic (5.70e-2)"	"unprognostic (2.41e-2)"	"unprognostic (4.91e-2)"	"unprognostic (4.74e-2)"	"unprognostic (2.88e-1)"	"unprognostic (4.69e-3)"	"unprognostic (8.04e-2)"	"unprognostic (8.85e-2)"	"unprognostic (3.02e-2)"	"unprognostic (1.47e-3)"	"unprognostic (1.82e-5)"	"unprognostic (4.40e-1)"	"unprognostic (1.41e-3)"	"unprognostic (1.05e-1)"	"unprognostic (6.33e-4)"	"unprognostic (1.65e-5)"	"unprognostic (2.65e-2)"	"unprognostic (6.99e-3)"	"unprognostic (7.16e-2)"	"unprognostic (7.40e-2)"	"unprognostic (9.79e-2)"	"unprognostic (1.63e-1)"	"unprognostic (6.88e-2)"	"unprognostic (4.11e-1)"	"unprognostic (8.10e-2)"	"unprognostic (2.65e-1)"	"unprognostic (1.54e-2)"	"unprognostic (7.83e-2)"	"unprognostic (1.77e-3)"	"unprognostic (6.06e-2)"
SLC25A45		ENSG00000162241	"Solute carrier family 25 member 45"	Q8N413	11	65375192-65383701	"Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 33.2"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 50.7;Granulosa cells: 58.3;NK-cells: 64.8;Proximal enterocytes: 77.9"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Myeloma: 13.3"		"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"HPA042495, HPA050821"	Uncertain		Approved	Cytosol			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 68: Non-specific - Protein processing"	"Cluster 30: White matter - Myelination"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 55: Non-specific - Transcription"		Cytosol		"HPA042495: , HPA050821: AB_2681249"	"unprognostic (1.78e-2)"	"unprognostic (1.77e-1)"	"unprognostic (7.26e-2)"	"unprognostic (1.04e-3)"	"unprognostic (1.92e-3)"	"unprognostic (8.22e-3)"	"unprognostic (1.43e-1)"		"unprognostic (2.17e-3)"	"unprognostic (4.99e-2)"	"unprognostic (3.85e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.38e-3)"	"unprognostic (1.32e-3)"	"unprognostic (9.70e-3)"	"unprognostic (9.80e-2)"	"unprognostic (9.95e-2)"	"unprognostic (9.10e-2)"	"unprognostic (2.30e-1)"	"unprognostic (7.38e-2)"	"unprognostic (3.76e-2)"	"unprognostic (1.09e-3)"	"unprognostic (3.36e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.71e-1)"	"unprognostic (1.57e-1)"	"unprognostic (4.64e-2)"	"unprognostic (2.04e-1)"	"unprognostic (6.82e-2)"	"unprognostic (1.44e-2)"	"unprognostic (1.64e-2)"
SLC39A14	"KIAA0062, NET34, ZIP14"	ENSG00000104635	"Solute carrier family 39 member 14"	Q15043	8	22367278-22434129	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport, Zinc transport"		"Disease variant, Dystonia, Neurodegeneration, Parkinsonism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 537.7;pancreas: 245.4"	"Cell type enhanced"	"Detected in many"		"Glandular and luminal cells: 255.4;Hepatocytes: 488.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016508, HPA056732"	Enhanced		Approved	"Endoplasmic reticulum,Golgi apparatus,Plasma membrane"			NA	NA		980000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 83: Liver - Metabolism"	"Cluster 12: Non-specific - Vasculature"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"	6	"Endoplasmic reticulum, Golgi apparatus, Plasma membrane"		"HPA016508: AB_1857148, HPA056732: "	"unprognostic (4.27e-1)"	"unprognostic (3.02e-1)"	"unprognostic (3.15e-2)"	"unprognostic (3.02e-2)"	"unprognostic (4.95e-3)"	"unprognostic (1.68e-1)"	"unprognostic (6.81e-3)"	"unprognostic (7.64e-3)"	"unprognostic (5.02e-2)"	"unprognostic (3.24e-2)"	"unprognostic (2.19e-2)"	"unprognostic (6.57e-2)"	"unprognostic (1.23e-4)"	"unprognostic (3.75e-1)"	"unprognostic (1.76e-2)"	"unprognostic (1.57e-2)"	"unprognostic (5.88e-2)"	"unprognostic (1.32e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.84e-3)"	"unprognostic (2.97e-2)"	"unprognostic (3.44e-2)"	"unprognostic (3.75e-2)"	"unprognostic (3.23e-1)"	"unprognostic (1.33e-2)"	"unprognostic (3.60e-2)"	"unprognostic (1.27e-1)"	"unprognostic (7.09e-2)"	"unprognostic (8.03e-2)"	"unprognostic (2.65e-2)"	"unprognostic (1.24e-1)"
SLC3A1	"ATR1, CSNU1, D2H, NBAT, RBAT"	ENSG00000138079	"Solute carrier family 3 member 1"	Q07837	2	44275458-44321494	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"		"Cystinuria, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 132.3;kidney: 624.8;pancreas: 210.6"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 74.4;Glandular and luminal cells: 95.7;Oocytes: 164.7;Proximal enterocytes: 219.5;Proximal tubular cells: 221.2"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"Kidney Renal Clear Cell Carcinoma (TCGA): 434.1;Kidney Renal Papillary Cell Carcinoma (TCGA): 401.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gastric cancer: 15.1;Kidney cancer: 17.1"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA038360, HPA071102"	Enhanced		Approved	"Nuclear bodies,Mitochondria"			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 22: Proximal enterocytes - Digestion"	1	Mitochondria	"Nuclear bodies"	"HPA038360: AB_2675975, HPA071102: AB_2732171"		"unprognostic (2.06e-1)"	"unprognostic (3.55e-1)"	"unprognostic (9.96e-2)"	"unprognostic (3.54e-2)"	"unprognostic (2.14e-2)"				"unprognostic (1.23e-3)"	"unprognostic (4.79e-10)"	"unprognostic (9.22e-6)"	"unprognostic (4.70e-5)"	"unprognostic (2.41e-2)"	"unprognostic (3.79e-3)"					"unprognostic (8.50e-2)"	"unprognostic (1.45e-1)"	"unprognostic (8.02e-2)"	"unprognostic (3.49e-1)"	"unprognostic (5.80e-2)"	"unprognostic (8.74e-2)"	"unprognostic (1.91e-2)"		"unprognostic (1.24e-1)"	"unprognostic (1.34e-2)"		"unprognostic (2.24e-3)"
SLC41A1	MgtE	ENSG00000133065	"Solute carrier family 41 member 1"	Q8IVJ1	1	205789094-205813748	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, Nephronophthisis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 95.9;pancreas: 59.7;tongue: 73.0"	"Cell type enriched"	"Detected in many"	4	"Cardiomyocytes: 229.8"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 97.8;ependymal cell: 81.4;fibroblast: 124.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Minor Salivary Gland - Endothelial cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014721, HPA015138"	Uncertain		Approved	Mitochondria			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 55: Lymphoma - Immune response"	"Cluster 68: Cardiomyocytes - Muscle contraction"	28	Mitochondria		"HPA014721: , HPA015138: AB_1857160"	"unprognostic (1.33e-1)"	"unprognostic (2.78e-1)"	"unprognostic (1.39e-2)"	"unprognostic (8.82e-4)"	"unprognostic (1.05e-1)"	"unprognostic (6.06e-2)"	"unprognostic (2.79e-2)"	"unprognostic (3.03e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.38e-1)"	"unprognostic (9.55e-8)"	"unprognostic (2.73e-2)"	"unprognostic (1.26e-2)"	"unprognostic (2.01e-2)"	"unprognostic (4.43e-3)"	"unprognostic (2.01e-1)"	"unprognostic (8.80e-2)"	"unprognostic (8.42e-2)"	"unprognostic (4.16e-2)"	"unprognostic (3.91e-2)"	"unprognostic (2.07e-2)"	"unprognostic (1.04e-1)"	"unprognostic (3.49e-2)"	"unprognostic (6.22e-2)"	"unprognostic (1.08e-1)"	"unprognostic (4.97e-2)"	"unprognostic (8.45e-2)"	"unprognostic (7.37e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.33e-1)"	"unprognostic (1.93e-1)"
SLC4A4	"hhNMC, HNBC1, NBC1, NBC2, pNBC, SLC4A5"	ENSG00000080493	"Solute carrier family 4 member 4"	Q9Y6R1	4	71062667-71572087	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 115.3;pancreas: 252.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 776.9;Cholangiocytes: 141.2;Distal enterocytes: 266.3;Ductal cells: 152.5;Prostatic glandular cells: 126.3;Proximal tubular cells: 173.2"	"Cell type enhanced"	"Detected in all"		"astrocyte: 1523.4;bergmann glia: 4574.7"	"Group enriched"	"Detected in many"	5	"Glioblastoma Multiforme (TCGA): 33.2;Kidney Renal Clear Cell Carcinoma (TCGA): 30.6;Kidney Renal Papillary Cell Carcinoma (TCGA): 21.7;Pancreatic Adenocarcinoma (TCGA): 26.6;Prostate Adenocarcinoma (TCGA): 59.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 21.0;prostate cancer: 13.6"	"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022493, HPA035628, HPA035629, HPA079220"	Enhanced		Approved	"Plasma membrane,Cytosol"			NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 47: Astrocytes - Unknown function"	1	"Plasma membrane"	Cytosol	"CAB022493: , HPA035628: AB_2674708, HPA035629: AB_2674709, HPA079220: "		"unprognostic (3.92e-2)"	"unprognostic (4.04e-2)"	"unprognostic (1.01e-1)"	"unprognostic (9.95e-4)"	"unprognostic (2.95e-1)"	"unprognostic (2.55e-1)"	"unprognostic (2.20e-4)"		"unprognostic (3.54e-2)"	"unprognostic (1.03e-8)"	"unprognostic (5.26e-4)"	"unprognostic (2.77e-1)"	"unprognostic (5.33e-2)"	"unprognostic (5.18e-3)"	"unprognostic (6.67e-2)"	"unprognostic (1.68e-1)"		"unprognostic (7.39e-2)"			"unprognostic (5.57e-2)"	"unprognostic (7.14e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.82e-1)"	"unprognostic (8.35e-3)"		"unprognostic (6.73e-2)"		"unprognostic (1.75e-3)"	
SMIM22	CASIMO1	ENSG00000267795	"Small integral membrane protein 22"	K7EJ46	16	4788397-4796491	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 188.3;pancreas: 149.9;salivary gland: 142.9;stomach 1: 196.2"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 2064.5;Enteroendocrine cells: 620.1;Intestinal goblet cells: 1141.8;Paneth cells: 999.8;Proximal enterocytes: 1718.8"	"Cell type enhanced"	"Detected in some"		"oligodendrocyte: 3.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 142.5;colorectal cancer: 173.2"	"Breast - Breast glandular cells, Colon - Colon enterocytes, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Somatotropes, Skin - Eccrine sweat gland cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA077331			Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 48: Stomach - Proteolysis"	"Cluster 30: White matter - Myelination"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"		Nucleoplasm	Cytosol	"HPA077331: AB_2686834"	"unprognostic (1.29e-1)"	"unprognostic (2.43e-1)"		"unprognostic (2.13e-2)"	"unprognostic (6.30e-3)"	"unprognostic (5.85e-3)"			"unprognostic (3.75e-2)"	"unprognostic (2.26e-2)"	"unprognostic (1.41e-3)"	"unprognostic (2.62e-1)"	"unprognostic (7.48e-2)"	"unprognostic (3.09e-3)"		"unprognostic (1.24e-1)"	"unprognostic (9.79e-2)"	"unprognostic (7.70e-4)"	"unprognostic (7.90e-3)"	"unprognostic (4.39e-2)"	"unprognostic (2.91e-1)"	"unprognostic (9.85e-3)"	"unprognostic (2.30e-2)"	"unprognostic (2.64e-1)"	"unprognostic (1.37e-1)"	"unprognostic (2.20e-3)"		"unprognostic (2.78e-1)"	"unprognostic (3.25e-1)"	"unprognostic (2.06e-1)"	"unprognostic (1.73e-1)"
SMPDL3B	ASML3B	ENSG00000130768	"Sphingomyelin phosphodiesterase acid like 3B"	Q92485	1	27935000-27959157	"Predicted secreted proteins"	"Immunity, Inflammatory response, Innate immunity, Lipid degradation, Lipid metabolism"	"Glycosidase, Hydrolase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 23.4;pancreas: 47.8"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 36.2;Distal enterocytes: 50.4;Paneth cells: 55.2;Proximal enterocytes: 37.6"	"Cell type enhanced"	"Detected in many"		"deep-layer corticothalamic and 6b: 7.8;deep-layer near-projecting: 6.3;eccentric medium spiny neuron: 5.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"eosinophil: 3.3;myeloid DC: 1.3;neutrophil: 1.7"	"Group enriched"	"Detected in many"	7	"dendritic cells: 1.3;granulocytes: 3.3"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Spleen - Plasma cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA030561			Approved	"Golgi apparatus,Cytosol"	"Secreted to blood"	Immunity	NA	NA		340000	"Cluster 22: Eosinophils - Transcription"	"Cluster 48: Stomach - Proteolysis"	"Cluster 35: Non-specific - DNA binding"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 16: Intestinal goblet cells - Mucin production"	9	Cytosol	"Golgi apparatus"	"HPA030561: AB_10604095"	"unprognostic (1.21e-1)"	"unprognostic (2.27e-2)"	"unprognostic (8.71e-2)"	"unprognostic (1.58e-2)"	"unprognostic (8.48e-2)"	"unprognostic (1.98e-4)"			"unprognostic (4.09e-2)"	"unprognostic (2.72e-1)"	"unprognostic (2.52e-2)"	"unprognostic (1.91e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.79e-1)"		"unprognostic (3.26e-1)"	"unprognostic (8.52e-2)"	"unprognostic (1.26e-2)"	"unprognostic (6.24e-2)"	"unprognostic (2.23e-2)"	"unprognostic (3.70e-1)"	"unprognostic (1.12e-1)"	"unprognostic (6.58e-2)"	"unprognostic (4.19e-1)"	"unprognostic (6.42e-2)"	"unprognostic (3.07e-1)"		"unprognostic (1.80e-1)"	"unprognostic (1.59e-1)"	"unprognostic (5.59e-3)"	"unprognostic (9.08e-2)"
